Resource,Derating_Factor_1,Derating_Factor_2,Derating_Factor_3,Derating_Factor_4,Derating_Factor_5,Derating_Factor_6,Derating_Factor_7
XZ2sichuan_hydro_candidate,0.0,0.0,0.0,0.0,0.9,0.0,0.0
xizang_hydro_candidate,0.0,0.0,0.0,0.0,0.9,0.0,0.0
qinghai_hydro_candidate,0.0,0.0,0.0,0.0,0.0,0.9,0.0
guizhou_hydro_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.9
yunnan_hydro_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.9
XZ2zangyu_hydro_candidate,0.0,0.0,0.0,0.0,0.9,0.0,0.0
shandong_nuclear_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shandong_nuclear_existing2030,0.9,0.0,0.0,0.0,0.0,0.0,0.0
liaoning_nuclear_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
liaoning_nuclear_existing2030,0.0,0.9,0.0,0.0,0.0,0.0,0.0
jiangsu_nuclear_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
jiangsu_nuclear_existing2030,0.0,0.0,0.9,0.0,0.0,0.0,0.0
zhejiang_nuclear_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
zhejiang_nuclear_existing2030,0.0,0.0,0.9,0.0,0.0,0.0,0.0
fujian_nuclear_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
fujian_nuclear_existing2030,0.0,0.0,0.9,0.0,0.0,0.0,0.0
guangdong_nuclear_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
guangdong_nuclear_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.9
guangxi_nuclear_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
guangxi_nuclear_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.9
hainan_nuclear_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
hainan_nuclear_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.9
beijing_biomass_existing,0.85,0.0,0.0,0.0,0.0,0.0,0.0
tianjin_biomass_existing,0.85,0.0,0.0,0.0,0.0,0.0,0.0
jibei_biomass_existing,0.85,0.0,0.0,0.0,0.0,0.0,0.0
jinan_biomass_existing,0.85,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_biomass_existing,0.85,0.0,0.0,0.0,0.0,0.0,0.0
shandong_biomass_existing,0.85,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_biomass_existing,0.85,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_biomass_existing,0.0,0.85,0.0,0.0,0.0,0.0,0.0
liaoning_biomass_existing,0.0,0.85,0.0,0.0,0.0,0.0,0.0
jilin_biomass_existing,0.0,0.85,0.0,0.0,0.0,0.0,0.0
heilongjiang_biomass_existing,0.0,0.85,0.0,0.0,0.0,0.0,0.0
shanghai_biomass_existing,0.0,0.0,0.85,0.0,0.0,0.0,0.0
jiangsu_biomass_existing,0.0,0.0,0.85,0.0,0.0,0.0,0.0
zhejiang_biomass_existing,0.0,0.0,0.85,0.0,0.0,0.0,0.0
anhui_biomass_existing,0.0,0.0,0.85,0.0,0.0,0.0,0.0
fujian_biomass_existing,0.0,0.0,0.85,0.0,0.0,0.0,0.0
jiangxi_biomass_existing,0.0,0.0,0.0,0.85,0.0,0.0,0.0
henan_biomass_existing,0.0,0.0,0.0,0.85,0.0,0.0,0.0
hubei_biomass_existing,0.0,0.0,0.0,0.85,0.0,0.0,0.0
hunan_biomass_existing,0.0,0.0,0.0,0.85,0.0,0.0,0.0
chongqing_biomass_existing,0.0,0.0,0.0,0.0,0.85,0.0,0.0
sichuan_biomass_existing,0.0,0.0,0.0,0.0,0.85,0.0,0.0
xizang_biomass_existing,0.0,0.0,0.0,0.0,0.85,0.0,0.0
shaanxi_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.85,0.0
gansu_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.85,0.0
qinghai_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.85,0.0
ningxia_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.85,0.0
xinjiang_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.85,0.0
guangdong_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.85
guangxi_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.85
hainan_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.85
guizhou_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.85
yunnan_biomass_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.85
shandong_nuclear_candidate,0.9,0.0,0.0,0.0,0.0,0.0,0.0
liaoning_nuclear_candidate,0.0,0.9,0.0,0.0,0.0,0.0,0.0
jiangsu_nuclear_candidate,0.0,0.0,0.9,0.0,0.0,0.0,0.0
zhejiang_nuclear_candidate,0.0,0.0,0.9,0.0,0.0,0.0,0.0
fujian_nuclear_candidate,0.0,0.0,0.9,0.0,0.0,0.0,0.0
guangdong_nuclear_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.9
guangxi_nuclear_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.9
hainan_nuclear_candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.9
beijing_hydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
jibei_hydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
jinan_hydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_hydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shandong_hydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_hydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_hydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
liaoning_hydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
jilin_hydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
heilongjiang_hydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
jiangsu_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
zhejiang_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
anhui_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
fujian_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
jiangxi_hydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
henan_hydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
hunan_hydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
chongqing_hydro_existing,0.0,0.0,0.0,0.0,0.9,0.0,0.0
shaanxi_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
gansu_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
ningxia_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
xinjiang_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
guangdong_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
guangxi_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
hainan_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
jibei_hydro_candidate,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_hydro_existing2030,0.9,0.0,0.0,0.0,0.0,0.0,0.0
chongqing_hydro_existing2030,0.0,0.0,0.0,0.0,0.9,0.0,0.0
xinjiang_hydro_existing2030,0.0,0.0,0.0,0.0,0.0,0.9,0.0
gansu_hydro_existing2030,0.0,0.0,0.0,0.0,0.0,0.9,0.0
shanxi_hydro_candidate,0.9,0.0,0.0,0.0,0.0,0.0,0.0
chongqing_hydro_candidate,0.0,0.0,0.0,0.0,0.9,0.0,0.0
xinjiang_hydro_candidate,0.0,0.0,0.0,0.0,0.0,0.9,0.0
gansu_hydro_candidate,0.0,0.0,0.0,0.0,0.0,0.9,0.0
beijing_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
tianjin_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jibei_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jinan_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shandong_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_battery_existing,0.0,0.3,0.0,0.0,0.0,0.0,0.0
liaoning_battery_existing,0.0,0.3,0.0,0.0,0.0,0.0,0.0
jilin_battery_existing,0.0,0.3,0.0,0.0,0.0,0.0,0.0
heilongjiang_battery_existing,0.0,0.3,0.0,0.0,0.0,0.0,0.0
shanghai_battery_existing,0.0,0.0,0.3,0.0,0.0,0.0,0.0
jiangsu_battery_existing,0.0,0.0,0.3,0.0,0.0,0.0,0.0
zhejiang_battery_existing,0.0,0.0,0.3,0.0,0.0,0.0,0.0
anhui_battery_existing,0.0,0.0,0.3,0.0,0.0,0.0,0.0
fujian_battery_existing,0.0,0.0,0.3,0.0,0.0,0.0,0.0
jiangxi_battery_existing,0.0,0.0,0.0,0.3,0.0,0.0,0.0
henan_battery_existing,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hubei_battery_existing,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hunan_battery_existing,0.0,0.0,0.0,0.3,0.0,0.0,0.0
chongqing_battery_existing,0.0,0.0,0.0,0.0,0.3,0.0,0.0
sichuan_battery_existing,0.0,0.0,0.0,0.0,0.3,0.0,0.0
xizang_battery_existing,0.0,0.0,0.0,0.0,0.3,0.0,0.0
shaanxi_battery_existing,0.0,0.0,0.0,0.0,0.0,0.3,0.0
gansu_battery_existing,0.0,0.0,0.0,0.0,0.0,0.3,0.0
qinghai_battery_existing,0.0,0.0,0.0,0.0,0.0,0.3,0.0
ningxia_battery_existing,0.0,0.0,0.0,0.0,0.0,0.3,0.0
xinjiang_battery_existing,0.0,0.0,0.0,0.0,0.0,0.3,0.0
guangdong_battery_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guangxi_battery_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.3
hainan_battery_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guizhou_battery_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.3
yunnan_battery_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.3
SAX2shanwu_battery_existing,0.0,0.0,0.0,0.3,0.0,0.0,0.0
NX2zhongheng_battery_existing,0.0,0.0,0.0,0.3,0.0,0.0,0.0
XJ2kunyu_battery_existing,0.0,0.0,0.0,0.0,0.3,0.0,0.0
QH2qingyu_battery_existing,0.0,0.0,0.0,0.3,0.0,0.0,0.0
GS2longdong_battery_existing,0.3,0.0,0.0,0.0,0.0,0.0,0.0
tianjin_battery_existing20301,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jibei_battery_existing20301,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jinan_battery_existing20301,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_battery_existing20301,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shandong_battery_existing20301,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_battery_existing20301,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_battery_existing20301,0.0,0.3,0.0,0.0,0.0,0.0,0.0
liaoning_battery_existing20301,0.0,0.3,0.0,0.0,0.0,0.0,0.0
jilin_battery_existing20301,0.0,0.3,0.0,0.0,0.0,0.0,0.0
heilongjiang_battery_existing20301,0.0,0.3,0.0,0.0,0.0,0.0,0.0
shanghai_battery_existing20301,0.0,0.0,0.3,0.0,0.0,0.0,0.0
zhejiang_battery_existing20301,0.0,0.0,0.3,0.0,0.0,0.0,0.0
anhui_battery_existing20301,0.0,0.0,0.3,0.0,0.0,0.0,0.0
fujian_battery_existing20301,0.0,0.0,0.3,0.0,0.0,0.0,0.0
jiangxi_battery_existing20301,0.0,0.0,0.0,0.3,0.0,0.0,0.0
henan_battery_existing20301,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hubei_battery_existing20301,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hunan_battery_existing20301,0.0,0.0,0.0,0.3,0.0,0.0,0.0
sichuan_battery_existing20301,0.0,0.0,0.0,0.0,0.3,0.0,0.0
xizang_battery_existing20301,0.0,0.0,0.0,0.0,0.3,0.0,0.0
shaanxi_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.3,0.0
gansu_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.3,0.0
qinghai_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.3,0.0
ningxia_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.3,0.0
xinjiang_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.3,0.0
guangdong_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guangxi_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.0,0.3
hainan_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guizhou_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.0,0.3
yunnan_battery_existing20301,0.0,0.0,0.0,0.0,0.0,0.0,0.3
SAX2shanwan_battery_existing2030,0.0,0.0,0.3,0.0,0.0,0.0,0.0
GS2ganzhe_battery_existing2030,0.0,0.0,0.3,0.0,0.0,0.0,0.0
QH2qinggui_battery_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.3
SAX2shanyu_battery_existing2030,0.0,0.0,0.0,0.3,0.0,0.0,0.0
XJ2ruoqiang_battery_existing2030,0.0,0.0,0.0,0.0,0.3,0.0,0.0
GS2ganchuan_battery_existing2030,0.0,0.0,0.0,0.0,0.3,0.0,0.0
QH2qingyue_battery_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.3
MX2menggan_battery_existing2030,0.0,0.0,0.0,0.3,0.0,0.0,0.0
MX2menghu_battery_existing2030,0.0,0.0,0.3,0.0,0.0,0.0,0.0
MX2mengsu_battery_existing2030,0.0,0.0,0.3,0.0,0.0,0.0,0.0
MX2mengwan_battery_existing2030,0.0,0.0,0.3,0.0,0.0,0.0,0.0
JL2songliao_battery_existing2030,0.3,0.0,0.0,0.0,0.0,0.0,0.0
MX2jilu_battery_existing2030,0.3,0.0,0.0,0.0,0.0,0.0,0.0
MX2jingjinji_battery_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beijing_battery_candidate1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
tianjin_battery_candidate1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jibei_battery_candidate1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jinan_battery_candidate1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_battery_candidate1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shandong_battery_candidate1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_battery_candidate1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_battery_candidate1,0.0,0.3,0.0,0.0,0.0,0.0,0.0
liaoning_battery_candidate1,0.0,0.3,0.0,0.0,0.0,0.0,0.0
jilin_battery_candidate1,0.0,0.3,0.0,0.0,0.0,0.0,0.0
heilongjiang_battery_candidate1,0.0,0.3,0.0,0.0,0.0,0.0,0.0
shanghai_battery_candidate1,0.0,0.0,0.3,0.0,0.0,0.0,0.0
jiangsu_battery_candidate1,0.0,0.0,0.3,0.0,0.0,0.0,0.0
zhejiang_battery_candidate1,0.0,0.0,0.3,0.0,0.0,0.0,0.0
anhui_battery_candidate1,0.0,0.0,0.3,0.0,0.0,0.0,0.0
fujian_battery_candidate1,0.0,0.0,0.3,0.0,0.0,0.0,0.0
jiangxi_battery_candidate1,0.0,0.0,0.0,0.3,0.0,0.0,0.0
henan_battery_candidate1,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hubei_battery_candidate1,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hunan_battery_candidate1,0.0,0.0,0.0,0.3,0.0,0.0,0.0
chongqing_battery_candidate1,0.0,0.0,0.0,0.0,0.3,0.0,0.0
sichuan_battery_candidate1,0.0,0.0,0.0,0.0,0.3,0.0,0.0
xizang_battery_candidate1,0.0,0.0,0.0,0.0,0.3,0.0,0.0
shaanxi_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.3,0.0
gansu_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.3,0.0
qinghai_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.3,0.0
ningxia_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.3,0.0
xinjiang_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.3,0.0
guangdong_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guangxi_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
hainan_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guizhou_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
yunnan_battery_candidate1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
beijing_battery_candidate2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
tianjin_battery_candidate2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jibei_battery_candidate2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jinan_battery_candidate2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_battery_candidate2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
shandong_battery_candidate2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_battery_candidate2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_battery_candidate2,0.0,0.3,0.0,0.0,0.0,0.0,0.0
liaoning_battery_candidate2,0.0,0.3,0.0,0.0,0.0,0.0,0.0
jilin_battery_candidate2,0.0,0.3,0.0,0.0,0.0,0.0,0.0
heilongjiang_battery_candidate2,0.0,0.3,0.0,0.0,0.0,0.0,0.0
shanghai_battery_candidate2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
jiangsu_battery_candidate2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
zhejiang_battery_candidate2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
anhui_battery_candidate2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
fujian_battery_candidate2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
jiangxi_battery_candidate2,0.0,0.0,0.0,0.3,0.0,0.0,0.0
henan_battery_candidate2,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hubei_battery_candidate2,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hunan_battery_candidate2,0.0,0.0,0.0,0.3,0.0,0.0,0.0
chongqing_battery_candidate2,0.0,0.0,0.0,0.0,0.3,0.0,0.0
sichuan_battery_candidate2,0.0,0.0,0.0,0.0,0.3,0.0,0.0
xizang_battery_candidate2,0.0,0.0,0.0,0.0,0.3,0.0,0.0
shaanxi_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.3,0.0
gansu_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.3,0.0
qinghai_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.3,0.0
ningxia_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.3,0.0
xinjiang_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.3,0.0
guangdong_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guangxi_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.0,0.3
hainan_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.0,0.3
guizhou_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.0,0.3
yunnan_battery_candidate2,0.0,0.0,0.0,0.0,0.0,0.0,0.3
beijing_pumpedhydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
tianjin_pumpedhydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
jibei_pumpedhydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
jinan_pumpedhydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_pumpedhydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shandong_pumpedhydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_pumpedhydro_existing,0.9,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_pumpedhydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
liaoning_pumpedhydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
jilin_pumpedhydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
heilongjiang_pumpedhydro_existing,0.0,0.9,0.0,0.0,0.0,0.0,0.0
shanghai_pumpedhydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
jiangsu_pumpedhydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
zhejiang_pumpedhydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
anhui_pumpedhydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
fujian_pumpedhydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
jiangxi_pumpedhydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
henan_pumpedhydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
hubei_pumpedhydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
hunan_pumpedhydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
chongqing_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.9,0.0,0.0
sichuan_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.9,0.0,0.0
xizang_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.9,0.0,0.0
shaanxi_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
gansu_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
qinghai_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
ningxia_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
xinjiang_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
guangdong_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
guangxi_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
hainan_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
guizhou_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
yunnan_pumpedhydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
jibei_pumpedhydro_existing2030,0.9,0.0,0.0,0.0,0.0,0.0,0.0
jinan_pumpedhydro_existing2030,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shanxi_pumpedhydro_existing2030,0.9,0.0,0.0,0.0,0.0,0.0,0.0
shandong_pumpedhydro_existing2030,0.9,0.0,0.0,0.0,0.0,0.0,0.0
mengxi_pumpedhydro_existing2030,0.9,0.0,0.0,0.0,0.0,0.0,0.0
mengdong_pumpedhydro_existing2030,0.0,0.9,0.0,0.0,0.0,0.0,0.0
liaoning_pumpedhydro_existing2030,0.0,0.9,0.0,0.0,0.0,0.0,0.0
jilin_pumpedhydro_existing2030,0.0,0.9,0.0,0.0,0.0,0.0,0.0
heilongjiang_pumpedhydro_existing2030,0.0,0.9,0.0,0.0,0.0,0.0,0.0
jiangsu_pumpedhydro_existing2030,0.0,0.0,0.9,0.0,0.0,0.0,0.0
zhejiang_pumpedhydro_existing2030,0.0,0.0,0.9,0.0,0.0,0.0,0.0
anhui_pumpedhydro_existing2030,0.0,0.0,0.9,0.0,0.0,0.0,0.0
fujian_pumpedhydro_existing2030,0.0,0.0,0.9,0.0,0.0,0.0,0.0
jiangxi_pumpedhydro_existing2030,0.0,0.0,0.0,0.9,0.0,0.0,0.0
